player_id,player_name,age,ioc,participation_number,Number_of_matchs,win_count,lose_count,win/lose_ratio,total_aces,total_doubleF,total_1stIn,total_1stWon,FirstSvcMade/FirstSvcWon,rank_2010,rank_2011,rank_2012,rank_2013,rank_2014,rank_2015,rank_2016,rank_2017,rank_2018,rank_2019,rank_2020,rank_2021,rank_2022,rank_2023,rank_2024,rank_points_2010,rank_points_2011,rank_points_2012,rank_points_2013,rank_points_2014,rank_points_2015,rank_points_2016,rank_points_2017,rank_points_2018,rank_points_2019,rank_points_2020,rank_points_2021,rank_points_2022,rank_points_2023,rank_points_2024,total_rank_points_
104925,Novak Djokovic,36,SRB,73,985,852,133,6.41,5325,1738,47643,35593,74.71,3,1,1,2,1,1,2,4,1,2,1,1,8,1,1,6035,13475,11420,12110,10010,15285,10780,6055,9045,9145,11830,11540,3320,11245,9860,151155
104745,Rafael Nadal,37,ESP,37,820,681,139,4.9,2740,1160,39783,28991,72.87,1,2,2,1,3,5,4,1,1,1,2,3,2,2,305,11450,9575,10060,13030,8105,4630,4940,10465,10040,9985,9850,8270,5820,5770,175,122165
103819,Roger Federer,39,SUI,26,700,582,118,4.93,5414,820,32394,25422,78.48,2,4,2,6,2,3,3,2,3,3,3,8,99999,99999,99999,7645,6670,9465,4205,9700,7340,6425,9005,6020,6190,6590,4815,0,0,0,84070
104918,Andy Murray,36,GBR,26,714,526,188,2.8,4734,1166,32850,24460,74.46000000000001,5,3,3,4,6,2,1,1,240,126,115,143,49,40,62,5360,7780,8000,5790,4475,8670,11185,9390,200,442,502,476,955,1050,870,65145
105227,Marin Cilic,34,CRO,16,747,482,265,1.82,7015,1249,33541,25964,77.41,15,20,15,37,8,13,6,5,7,24,43,30,17,17,99999,2390,1745,2210,1130,3945,2395,3650,4185,4250,1500,1280,1710,2105,2105,0,34600
103970,David Ferrer,37,ESP,24,636,446,190,2.35,1741,1008,29475,20684,70.17,7,5,5,3,6,8,19,31,39,144,99999,99999,99999,99999,99999,3645,4880,6505,5800,4465,3945,2000,1425,1095,400,0,0,0,0,0,34160
104545,John Isner,38,USA,20,721,443,278,1.59,13320,908,42502,33605,79.07,19,25,11,16,14,13,27,14,9,17,23,23,47,157,99999,1885,1450,2565,2070,1925,2360,1430,2505,3425,1895,1805,2091,960,400,0,26766
105777,Grigor Dimitrov,32,BUL,11,713,438,275,1.59,4849,1338,34643,25954,74.92,360,70,48,23,11,29,18,6,19,27,20,30,28,17,10,102,721,866,1520,3645,1315,2035,3650,1835,1477,2215,1721,1460,2060,3605,28227
104527,Stan Wawrinka,39,SUI,23,673,432,241,1.79,4958,968,31781,23741,74.7,22,19,17,8,4,4,3,3,66,16,20,18,194,53,82,1675,1765,1900,3730,5295,6500,5115,5695,785,1910,2230,2365,277,922,717,40881
104607,Tomas Berdych,33,CZE,7,628,425,203,2.09,4714,860,26590,20691,77.81,6,7,6,7,7,5,11,20,71,101,99999,99999,99999,99999,99999,3755,3300,4680,4180,4465,4730,3060,2195,715,530,0,0,0,0,0,31610
